,id,neighbourhood_cleansed
1161,6883742,Ibiza
1162,6885070,Acacias
1163,6885289,Justicia
1164,6888338,Prosperidad
1165,6890860,Palacio
1166,6899113,Vallehermoso
1167,6899991,Trafalgar
1168,6906361,Pacífico
1169,6906836,Arapiles
1170,6908609,Palacio
1171,6910173,Embajadores
1172,6910714,Universidad
1173,6919034,Embajadores
1174,6921005,Pueblo Nuevo
1175,6922694,Imperial
1176,6922729,Legazpi
1177,6925759,Comillas
1178,6932077,Palacio
1179,6933109,Palos de Moguer
1180,6934536,Justicia
1181,6947217,Justicia
1182,6950087,Palos de Moguer
1183,6950481,Cortes
1184,6955446,Guindalera
1185,6957018,Almagro
1186,6961269,Embajadores
1187,6969504,Delicias
1188,6970927,Cuatro Caminos
1189,6985914,Goya
1190,6991988,Embajadores
1191,6995760,Goya
1192,6999084,Universidad
