,id,neighbourhood
1625,9493091,El Viso
1627,9506096,Universidad
1629,9798653,Palos de Moguer
1630,9799609,Almendrales
1631,9535469,Embajadores
1634,9537747,Universidad
1636,9549784,Vista Alegre
1638,9575680,Cortes
1639,9808033,Cuatro Caminos
1640,9581698,Simancas
1641,9811609,Embajadores
1642,9600924,Campamento
1644,9604122,Guindalera
1645,9830513,Recoletos
1648,9608049,Embajadores
1651,9851949,Sol
1654,10173465,Justicia
1655,9861979,Trafalgar
1656,10175363,Universidad
1657,9862245,Justicia
1658,10182539,Embajadores
1660,10188918,Palacio
1661,9877244,Ibiza
1662,10192147,Palos de Moguer
1664,10201661,Embajadores
1667,9880406,Cortes
1668,10221165,Rios Rosas
1669,9883101,Universidad
1672,10248475,Universidad
1676,10264484,Palacio
1680,10286663,Piovera
1681,10292503,Palacio
1684,10307340,Argüelles
1685,9940226,Sol
1686,10311386,Fontarrón
1687,9940790,Palacio
1688,10326736,Colina
1690,9948875,Castellana
1691,10353002,Universidad
1693,10362376,Almendrales
1694,9959387,Cortes
1695,10374268,Numancia
1696,10396624,Universidad
1698,9964714,Palacio
1700,9965402,Cortes
1701,10409426,Trafalgar
1705,10445067,Acacias
1706,9974530,Embajadores
1708,9977208,Aluche
1709,9982157,Embajadores
1710,10465938,Simancas
1712,10484025,Recoletos
1713,9982683,Universidad
1715,10005860,Puerta del Angel
1716,10490005,Ciudad Universitaria
1718,10017799,Delicias
1719,10493501,Adelfas
1720,10018946,Justicia
1723,10511300,Sol
1724,10047684,Embajadores
1725,10048277,Aluche
1726,10523086,Sol
1727,10052073,Castillejos
1728,10524194,Castilla
1729,10052652,Sol
1730,10533378,Delicias
1734,10081378,San Andrés
1736,10541382,Costillares
1737,10082181,Universidad
1739,10082400,Rios Rosas
1740,10110286,Universidad
1741,10570903,Castillejos
1743,10579286,Universidad
1745,10130390,Sol
1747,10588092,Cortes
1748,10144509,San Pascual
1752,10611545,Ventas
1753,10923447,Palacio
1754,10926925,Embajadores
1759,10676283,Sol
1760,10677284,Sol
1761,10993059,Fuente del Berro
1762,10681179,Sol
1763,11001199,Palos de Moguer
1765,11001575,Rios Rosas
1768,11003874,Opañel
1771,10699176,Trafalgar
1773,11028671,Casa de Campo
1774,10722467,Embajadores
1776,11043758,Valdefuentes
1777,10751436,Palos de Moguer
1780,11056834,Justicia
1783,11057913,Palacio
1784,10764720,Opañel
1785,11077428,Universidad
1795,10807501,Universidad
1796,11095680,Palomeras Bajas
1798,10848457,Goya
1800,10849742,Palacio
1802,10854277,Sol
1803,11112982,Universidad
1804,10854901,Sol
1805,10855140,Sol
1806,10855267,Sol
1811,10913078,Embajadores
1812,10913431,Sol
1818,11152505,Embajadores
1822,11154549,Sol
1829,11179512,Pinar del Rey
1831,11195878,Castellana
1837,11205538,Universidad
1838,11550407,Embajadores
1839,11216715,Sol
1841,11240529,Justicia
1842,11559121,Alameda de Osuna
1843,11248487,Justicia
1846,11248646,Justicia
1850,11251920,Justicia
1853,11251956,Justicia
1854,11260503,Justicia
1857,11275057,Mirasierra
1858,11286775,Sol
1859,11604023,Embajadores
1860,11291438,Sol
1861,11311237,Palacio
1863,11313107,Universidad
1866,11615877,Embajadores
1867,11329943,Embajadores
1869,11619293,Puerta del Angel
1870,11338228,Embajadores
1871,11343804,Palacio
1872,11630593,Palacio
1873,11354583,Almagro
1876,11636119,Embajadores
1878,11638814,Justicia
1883,11381729,Embajadores
1888,11653281,Justicia
1889,11393884,Universidad
1891,11395168,Palacio
1892,11663087,Imperial
1894,11664287,Trafalgar
1895,11429939,Adelfas
1898,11431074,Palos de Moguer
1899,11431731,Adelfas
1900,11666952,Universidad
1901,11435882,Palacio
1903,11438317,Adelfas
1905,11688088,Universidad
1906,11438763,Adelfas
