id,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,bathrooms,accommodates,bedrooms,host_is_superhost,beds,availability_30,monthly_occupancy,month,day,district_key,neighborhood_key,neighbourhood_group,median_price,how_expensive,predict
31688364,40.41251,-3.7021,97,3,102,1.94,132,1.0,4,1.0,0.0,2.0,4,0.8666666666666667,5,13,1,6,Centro,106.0,15.0,113.3717113689339
31606052,40.41809,-3.6981,244,1,82,1.64,206,2.0,4,3.0,0.0,5.0,0,1.0,5,11,1,19,Centro,106.0,15.0,209.22004593809248
31606140,40.41858,-3.69739,255,1,36,0.73,195,2.0,6,4.0,0.0,7.0,13,0.5666666666666667,5,26,1,19,Centro,106.0,15.0,238.3406348823115
31606181,40.41834,-3.69813,191,1,29,0.59,221,2.0,4,2.0,0.0,2.0,6,0.8,5,24,1,19,Centro,106.0,15.0,189.73635308493903
31690847,40.39617,-3.72008,120,7,8,0.18,330,1.0,3,1.0,0.0,2.0,18,0.4,8,27,18,59,Carabanchel,55.0,7.0,93.76009288281848
31610133,40.41036,-3.69931,82,2,128,2.41,279,1.0,2,1.0,0.0,1.0,3,0.9,6,7,1,6,Centro,106.0,15.0,88.34171911602193
31620334,40.41179,-3.69652,92,1,106,2.02,173,1.0,2,,,1.0,24,0.2,6,3,1,19,Centro,106.0,15.0,73.68917411877347
31632867,40.42295,-3.69898,138,6,30,0.61,350,1.0,2,1.0,1.0,1.0,22,0.26666666666666666,5,14,1,5,Centro,106.0,15.0,119.58185339290196
31716236,40.49177,-3.72731,63,1,25,0.49,37,1.0,2,,,2.0,6,0.8,3,26,13,105,Fuencarral - El Pardo,50.0,5.0,45.86819182434397
31717467,40.40842,-3.70831,224,1,39,0.74,305,2.0,6,3.0,0.0,3.0,8,0.7333333333333333,3,26,1,6,Centro,106.0,15.0,211.6775203462577
31729000,40.43788,-3.65255,70,6,19,0.36,67,1.0,2,1.0,0.0,2.0,7,0.7666666666666667,7,22,5,9,Ciudad Lineal,54.0,6.0,85.7258332667811
31634065,40.42251,-3.70047,179,1,48,0.94,247,1.0,4,2.0,1.0,3.0,20,0.3333333333333333,5,19,1,5,Centro,106.0,15.0,172.04862093921832
31634086,40.42106,-3.70027,197,1,62,1.21,244,2.0,4,2.0,1.0,3.0,16,0.4666666666666667,5,12,1,5,Centro,106.0,15.0,193.88526202962493
31634102,40.42085,-3.70012,165,1,37,0.7,251,1.0,2,1.0,1.0,1.0,20,0.3333333333333333,5,15,1,5,Centro,106.0,15.0,129.9613169717196
31634121,40.4207,-3.69847,198,1,14,0.27,237,2.0,4,2.0,1.0,3.0,17,0.43333333333333335,4,10,1,5,Centro,106.0,15.0,206.5382846065237
31775212,40.41294,-3.70627,126,2,190,3.59,60,1.0,3,1.0,1.0,2.0,8,0.7333333333333333,5,29,1,6,Centro,106.0,15.0,100.03371133084843
31775638,40.35117,-3.69308,27,1,133,2.51,137,1.0,2,,,2.0,7,0.7666666666666667,5,17,11,24,Villaverde,45.0,2.0,32.82700443252627
31636256,40.41893,-3.699,199,1,10,0.2,195,2.0,6,3.0,0.0,4.0,8,0.7333333333333333,5,18,1,19,Centro,106.0,15.0,205.5920399972392
31636317,40.41898,-3.6973,240,1,5,0.1,179,2.0,4,3.0,0.0,4.0,5,0.8333333333333334,4,19,1,19,Centro,106.0,15.0,218.5799821242121
31639638,40.42094,-3.69892,172,1,1,0.3,219,1.0,2,1.0,0.0,2.0,15,0.5,3,2,1,5,Centro,106.0,15.0,164.6072651160699
